ref_article,designation,marque,famille,next_year,avg_forecast,trend_pct,trend_label,data_points
6192488206136,KIT COLORATION RB SO COLOR 7.2,RENEE BLANCHE,MASS MARKET,2026,16760.37759975026,2457.701572588557,Stable,4
HZTT9.1,TEINT HZ TRESOR SA 9.1,H. ZONE,TRESOR,2026,16484.389337658402,-19.260640100899547,Downtrend,5
HZTI/500,TEINT IALO 5.00 100ML,H. ZONE,IALO,2026,16107.58809842504,294.97397778614857,Uptrend,6
HZTT5.14,TEINT HZ TRESOR SA 5.14,H. ZONE,TRESOR,2026,16076.541164033355,108.83206786059961,Stable,5
HZT/7.12,TEINT IALO 7.12 100ML,H. ZONE,IALO,2026,15918.713536662375,114.45713613866437,Uptrend,6
KP0038,BRASIL CACAU - SMOOTHING PROTEIN KIT 110 ML,CADIVEU,LISSAGE,2026,15885.50998148063,-76.87348857405398,Downtrend,6
HZT/6.66,TEINT IALO 6.66 100ML,H. ZONE,IALO,2026,15838.785155575692,821.8274973650309,Uptrend,6
6192488208482,Cristalli Semi Di Lino Olio 125 ml ,RENEE BLANCHE,0%SSP,2026,15747.487838333465,-50.66440643084754,Downtrend,3
HZT/6.15,TEINT IALO 6.15 100ML,H. ZONE,IALO,2026,15746.666220176385,192.42949491817015,Uptrend,6
HZTT9.0,TEINT HZ TRESOR SA 9.0,H. ZONE,TRESOR,2026,15597.874654483303,3.0922989183427894,Stable,5
6192488208956,TEINT IALO 9.11 100ML,H. ZONE,IALO,2026,15439.666270000158,112.6994032629369,Uptrend,3
HZTI/900,TEINT IALO 9.00 100ML,H. ZONE,IALO,2026,15434.721056807168,126.50628640713765,Uptrend,6
6192488209298,KIT SO NATURAL RB S/A 9.1,RENEE BLANCHE,MASS MARKET,2026,15339.63524,-59.785062140350185,Downtrend,2
RBT/3.0,TEINT RENEE BLANCHE 3.0  60ML,RENEE BLANCHE,COLORATION 60ML,2026,15255.65692354999,-66.65515097441467,Downtrend,5
MASK_RB_BOTOX_500_,MASQUE RB BOTOX 500ML 6192488209359,RENEE BLANCHE,0%SSP,2026,15110.723030000285,-46.55807092626869,Downtrend,2
MASK_RB_COLLAG_500,MASQUE RB COLLAGENE 500 ML 6192488209380,RENEE BLANCHE,0%SSP,2026,15062.66763500035,-42.70294333302744,Downtrend,2
HZT/8.12,TEINT IALO 8.12 100ML,H. ZONE,IALO,2026,14758.193950056515,141.62430872959743,Uptrend,6
RBO30L,R.B OXY 30V 1L,RENEE BLANCHE,COLORATION 60ML,2026,14616.283608741629,-56.381663227393496,Downtrend,5
HZTT8.13,TEINT HZ TRESOR SA 8.13,H. ZONE,TRESOR,2026,14476.237860233308,51.646043972333864,Stable,5
PA0108,CADIVEU-HAIR REMEDY-SHAMPO 250 ML  ,CADIVEU,SOINS CAPILLAIRES,2024,14346.922595333395,107.35146813176823,Stable,4
6192488209250,KIT SO NATURAL RB S/A 10.0,RENEE BLANCHE,MASS MARKET,2026,13806.229960000004,-60.98207111687929,Downtrend,2
HZT/8.15,TEINT IALO 8.15 100ML,H. ZONE,IALO,2026,13790.69270208874,90.07301292612522,Uptrend,6
RB_SHAMPO_PROT_1L,SHAMPOING RB PROTECTEUR 1L-6192488204910,RENEE BLANCHE,0%SSP,2026,13756.619284283337,41.97275445557804,Downtrend,5
HZT/9.31S,TEINT IALO 9.31S 100ML,H. ZONE,IALO,2026,13657.15441815736,114.44766607899521,Uptrend,6
HZTT7.31,TEINT HZ TRESOR SA 7.31,H. ZONE,TRESOR,2026,13434.042725033352,79.85902603396488,Stable,5
MASK_RB_SIL_500ML,MASQUE RB SILVER 500ML-6192488204699,RENEE BLANCHE,0%SSP,2026,13364.270605450014,11.170894399504437,Downtrend,5
8006569715852,TEINT IALO 7.3 100ML,H. ZONE,IALO,2026,13118.771799674325,36.26069727837387,Uptrend,6
8006569715715,TEINT IALO 1.1 100ML,H. ZONE,IALO,2026,13070.315389715526,-5.681387327276022,Downtrend,6
HZT/5.66,TEINT IALO 5.66 100ML,H. ZONE,IALO,2026,12344.550140643296,433.06765825992795,Uptrend,6
RBT/7.13,TEINT RENEE BLANCHE 7.13  60ML,RENEE BLANCHE,COLORATION 60ML,2026,12342.72049082507,-64.49050895235989,Downtrend,5
RBGDS250,RB GEL DOUCHE SENSUEL 250ML-6192488205849,RENEE BLANCHE,MASS MARKET,2026,12155.186473,-16.238508575401767,Downtrend,4
IATMRS500,IALO THERAPY MAX REPAIR SHAMPOO 500 ML,H. ZONE,IALO,2025,12001.394588333445,-61.72381061367016,Downtrend,3
6192488208994,TEINT HZ TRESOR SA 8.11,H. ZONE,TRESOR,2026,11968.038188333372,13.211843861512895,Stable,3
