ref_article,designation,marque,famille,next_year,avg_forecast,trend_pct,trend_label,data_points
TRBSA7.00,TEINT RB SANS AMONIAQUE 60ML 7.00,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,5715.6728485833355,6.349573599625106,Downtrend,4
8006569716132,TEINT IALO 6.2 100ML,H. ZONE,IALO,2026,5692.986205460868,264.44349902513267,Uptrend,6
8006569145710,TEINT IALO 6.08 100ML,H. ZONE,IALO,2026,5665.271874528716,127.8604413232469,Uptrend,6
HZTT8.14,TEINT HZ TRESOR SA 8.14,H. ZONE,TRESOR,2026,5630.0845276416685,1.4375406582177293,Stable,5
HZTT5.3,TEINT HZ TRESOR SA 5.3,H. ZONE,TRESOR,2026,5615.717897649998,-9.067767486739669,Stable,5
8006569145734,TEINT IALO 5.55 100ML,H. ZONE,IALO,2026,5608.0383713064075,-17.040855436400122,Uptrend,6
REV150V40,REVELATEUR 40V 150ML,H. ZONE,TRESOR,2026,5564.874526258305,856.3705919858749,Downtrend,5
8006569716040,TEINT IALO 7.4 100ML,H. ZONE,IALO,2026,5516.599037820703,87.44421251324584,Uptrend,6
RBT/7.26,TEINT RENEE BLANCHE 7.26  60ML,RENEE BLANCHE,COLORATION 60ML,2026,5465.840301833334,-73.78161461252482,Downtrend,5
TRBSA8.1,TEINT RB SANS AMONIAQUE 60ML 8.1,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,5426.881570833355,-52.91795220964106,Downtrend,4
8006569715944,TEINT IALO 6.35 100ML,H. ZONE,IALO,2026,5337.846596793767,137.00128150363093,Uptrend,6
6192488208871,TEINT RENEE BLANCHE 6.11 60ML,RENEE BLANCHE,COLORATION 60ML,2026,5211.871365000008,6.626852715938872,Stable,3
RBT/8.83,TEINT RENEE BLANCHE 8.83  60ML,RENEE BLANCHE,COLORATION 60ML,2026,5209.384919766668,-78.47392358675008,Downtrend,5
HZTT5.6,TEINT HZ TRESOR SA 5.6,H. ZONE,TRESOR,2026,5194.362045166666,3.590649062576405,Stable,5
TRBSA8.0,TEINT RB SANS AMONIAQUE 60ML 8.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,5191.775667083333,-47.76732027014716,Downtrend,4
8006569716149,TEINT IALO 11.0 100ML,H. ZONE,IALO,2026,5138.163959431257,17.20091600357409,Downtrend,6
RBT/5.84,TEINT RENEE BLANCHE 5.84  60ML,RENEE BLANCHE,COLORATION 60ML,2026,5103.508792966666,-76.27454676949237,Downtrend,5
P_DEC_HZ_BLEU_500G,H ZONE P.MECHE BLEU 500G,H. ZONE,IALO,2026,5098.558238666652,-84.84546360917248,Downtrend,5
IATS100,IALO THERAPY SERUM 100ML,H. ZONE,IALO,2026,5094.149684749909,-67.14189465839692,Downtrend,4
HZTT6.5,TEINT HZ TRESOR SA 6.5,H. ZONE,TRESOR,2026,5045.906514374994,-19.257894503633903,Stable,5
PA0614,CADIVEU ESSENTIALS-HAIR REMEDY MASK 200ML,CADIVEU,SOINS CAPILLAIRES,2026,5044.3582249999745,-36.47257738347521,Downtrend,2
TRBSA6.1,TEINT RB SANS AMONIAQUE 60ML 6.1,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,5041.067700416659,-41.09979872309507,Downtrend,4
H04V100,H.Z OXY 40V 100ML,H. ZONE,IALO,2026,4918.200551213803,-54.13832600783203,Downtrend,6
RBT/10.3,TEINT RENEE BLANCHE 10.3  60ML,RENEE BLANCHE,COLORATION 60ML,2026,4904.8903875666665,-84.63974772383983,Downtrend,5
RBT/11.0,TEINT RENEE BLANCHE 11.0  60ML,RENEE BLANCHE,COLORATION 60ML,2026,4875.161417808333,-89.94802803229233,Stable,5
HZTT6.6,TEINT HZ TRESOR SA 6.6,H. ZONE,TRESOR,2026,4846.63196555833,15.703589569814467,Stable,5
8006569144515,TEINT IALO 6.4 100ML,H. ZONE,IALO,2026,4818.281914846997,94.70034949705767,Uptrend,6
PA0502,CADIVEU ESSENTIALS -QS SHAMPOO 250 ML,CADIVEU,SOINS CAPILLAIRES,2026,4772.51985449992,-23.126201209378486,Downtrend,4
HZT/6.45,TEINT IALO 6.45 100ML,H. ZONE,IALO,2026,4740.353224439435,15.545453080392772,Uptrend,6
RBT/11.2,TEINT RENEE BLANCHE 11.2  60ML,RENEE BLANCHE,COLORATION 60ML,2026,4692.057324449998,-88.61961602955411,Uptrend,5
HZTT10.00,TEINT HZ TRESOR SA 10.00,H. ZONE,TRESOR,2026,4689.954880916668,-20.78032820142737,Downtrend,5
HZTI/10.31,TEINT IALO 10.31 100ML,H. ZONE,IALO,2026,4627.144802966042,0.013620745806356246,Downtrend,6
PA0186,BRASIL CACAU - EXTREME REPAIR - SHAMPOO 300ML,CADIVEU,SOINS CAPILLAIRES,2026,4595.546172258329,18.663186540815612,Downtrend,5
8006569716187,TEINT IALO BLEU 100ML,H. ZONE,IALO,2026,4561.6339480928045,11.500169151728553,Downtrend,6
RBT/6.84,TEINT RENEE BLANCHE 6.84  60ML,RENEE BLANCHE,COLORATION 60ML,2026,4547.618414825001,-75.24320256339313,Downtrend,5
6192488209014,TEINT HZ TRESOR SA 10.11,H. ZONE,TRESOR,2026,4468.758884999991,-50.88353282117907,Downtrend,3
HZT/7.44,TEINT IALO 7.44 100ML,H. ZONE,IALO,2026,4465.762533218955,348.064000517754,Uptrend,6
TRBSA6.00,TEINT RB SANS AMONIAQUE 60ML 6.00,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,4439.96264541667,-22.36574412324058,Downtrend,4
6192488208901,TEINT RENEE BLANCHE 9.11 60ML,RENEE BLANCHE,COLORATION 60ML,2026,4417.549645000014,-21.384290526244524,Downtrend,3
HZTT6.34,TEINT HZ TRESOR SA 6.34,H. ZONE,TRESOR,2026,4376.959316216663,43.80818019870637,Uptrend,5
P_DEC_RB_BLEU_400G,RB P.MECHE BLEU 400G,RENEE BLANCHE,COLORATION 60ML,2026,4331.387341433324,-93.0403113305386,Downtrend,5
MASK_RB_COLLAG_900,MASQUE RB COLLAGENE 900 ML 6192488209373,RENEE BLANCHE,0%SSP,2026,4292.189219999998,-53.37110645466458,Downtrend,2
RBKTNC,KERA/THER RB CONDIT NUTRITIF 250ML-6192488205818,RENEE BLANCHE,MASS MARKET,2026,4247.294410083332,-79.84386579018579,Downtrend,4
RBKTFC,KERA/THER RB CONDIT FORTIFIANT 250ML-6192488205825,RENEE BLANCHE,MASS MARKET,2026,4204.577846166667,-69.3271904054659,Downtrend,4
HZTT7.606,TEINT HZ TRESOR SA 7.606,H. ZONE,TRESOR,2026,4171.899359558336,9.39911319556027,Stable,5
HZT/7.2,TEINT IALO 7.2 100ML,H. ZONE,IALO,2026,4151.892483076456,38.97386580682884,Stable,6
IATMRM500,IALO THERAPY MAX REPAIR MASQUE 500 ML,H. ZONE,IALO,2026,4149.676258583333,-98.74368709812047,Downtrend,4
HZTT4.2,TEINT HZ TRESOR SA 4.2,H. ZONE,TRESOR,2026,4100.087395775032,-42.99822666288884,Downtrend,5
HZT/7.33,TEINT IALO 7.33 100ML,H. ZONE,IALO,2026,4044.055171683341,301.81365158750936,Uptrend,6
RBT/7.4,TEINT RENEE BLANCHE 7.4  60ML,RENEE BLANCHE,COLORATION 60ML,2026,3987.501547016621,-72.58305346933498,Downtrend,5
HZT/7.03,TEINT IALO 7.03 100ML,H. ZONE,IALO,2026,3982.0271170317815,35.00214093210306,Stable,6
PA0617,CADIVEU ESSENTIALS- HAIR REMEDY - SOS SERUM 120ML,CADIVEU,SOINS CAPILLAIRES,2026,3921.6512750000434,-46.391936968222744,Downtrend,2
HZT/7.55,TEINT IALO 7.55 100ML,H. ZONE,IALO,2026,3914.4598018411593,87.8730926084963,Uptrend,6
HZTT5.2,TEINT HZ TRESOR SA 5.2,H. ZONE,TRESOR,2026,3911.298478958382,-50.99914611733261,Downtrend,5
PA0476,CADIVEU ESSENTIALS -BB SHAMPO 250ML,CADIVEU,SOINS CAPILLAIRES,2026,3903.938820166758,-36.41179828052949,Downtrend,4
TRBSA9.0,TEINT RB SANS AMONIAQUE 60ML 9.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,3866.211263333299,-53.09772453067261,Downtrend,4
PA0504,CADIVEU ESSENTIALS -QS MASK 200 ML,CADIVEU,SOINS CAPILLAIRES,2026,3865.314297916586,-52.411681604752545,Downtrend,4
HZT/5.45,TEINT IALO 5.45 100ML,H. ZONE,IALO,2026,3863.5280729231267,87.15618202663752,Uptrend,6
RBT/22,TEINT RENEE BLANCHE 22 INT BLU 60ML,RENEE BLANCHE,COLORATION 60ML,2026,3859.1848329416666,-81.33010346488491,Downtrend,5
MASK_RB_BOTOX_900,MASQUE RB BOTOX 900ML 6192488209366,RENEE BLANCHE,0%SSP,2026,3837.1880450000017,-69.54310803669111,Downtrend,2
RBKTNS,KERA/THER RB SHAMP NUTRITIF 250ML-6192488205771,RENEE BLANCHE,MASS MARKET,2026,3834.5460802500006,-74.11364019099142,Downtrend,4
RBKTFS,KERA/THER RB SHAMP FORTIFIANT 250ML-6192488205788,RENEE BLANCHE,MASS MARKET,2026,3826.4692642499977,-67.17771647778928,Downtrend,4
HZT/6.53,TEINT IALO 6.53 100ML,H. ZONE,IALO,2026,3825.324474882929,233.3302226556433,Uptrend,6
TRBSA5.0,TEINT RB SANS AMONIAQUE 60ML 5.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,3803.652253250034,-57.37074909587868,Downtrend,4
TRBSA4.0,TEINT RB SANS AMONIAQUE 60ML 4.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,3757.74026875003,-41.88257651661148,Downtrend,4
HZT/8.03,TEINT IALO 8.03 100ML,H. ZONE,IALO,2026,3731.101312848714,19.883227429673255,Stable,6
RBO603,R.B OXY 30V 60ML 6192488202343,RENEE BLANCHE,COLORATION 60ML,2026,3727.0566278416663,-86.21125522793743,Downtrend,5
PA0471,CADIVEU ESSENTIALS- SHAMPOO VEGAN 250ML,CADIVEU,SOINS CAPILLAIRES,2026,3689.957329999901,146.60855434176895,Uptrend,2
RBKTPUS,KERA/THER RB SHAMP PURIFIANT 250ML-6192488205801,RENEE BLANCHE,MASS MARKET,2026,3662.985582083334,-67.81518783639021,Downtrend,4
PA0194,CADIVEU - HAIR REMEDY SOS SERUM 150ML,CADIVEU,SOINS CAPILLAIRES,2026,3653.065052429212,-102.12643171713982,Downtrend,6
HZACSH300ML,H ZONE ARGAN ACTIVE SHAMPOO 300ML,H. ZONE,IALO,2023,3647.7984450000004,-62.05864172277398,Downtrend,2
KP0040,CADIVEU-BLONDE RECONSTRUCTOR -HOME CARE KIT,CADIVEU,SOINS CAPILLAIRES,2026,3647.7673132833315,-74.49997701043726,Downtrend,5
IATPVM500,IALO THERAPY PRO VITALITY MASQUE 500 ML,H. ZONE,IALO,2026,3616.7068871666665,-96.46861816143984,Downtrend,4
REV150V10,REVELATEUR 10V 150ML,H. ZONE,TRESOR,2026,3600.337149333315,24.283113086357368,Uptrend,4
TRBSA8.00,TEINT RB SANS AMONIAQUE 60ML 8.00,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,3586.4286817500024,-34.60908911764156,Downtrend,4
8006569145703,TEINT IALO 5.08 100ML,H. ZONE,IALO,2026,3582.2253540141896,132.92084744263948,Uptrend,6
8006569140326,H.Z OXY 10V 1L,H. ZONE,IALO,2026,3576.723111591753,-10.42665944058659,Uptrend,6
IATS50,IALO THERAPY SERUM 50ML,H. ZONE,IALO,2026,3546.7828995000855,-65.30062096397405,Downtrend,4
IATCRS500,IALO THERAPY COLOR RESIST SHAMPOO 500 ML,H. ZONE,IALO,2026,3535.5607081666662,-99.67290984456143,Downtrend,4
RBO1204,R.B OXY 40V 120ML 6192488202848,RENEE BLANCHE,COLORATION 60ML,2026,3530.6027199166474,-58.64401893355187,Downtrend,5
HZTT7.34,TEINT HZ TRESOR SA 7.34,H. ZONE,TRESOR,2026,3503.842198191663,8.090214788633254,Stable,5
HZTT9.3,TEINT HZ TRESOR SA 9.3,H. ZONE,TRESOR,2026,3476.826809308325,-35.379696368326194,Downtrend,5
KP0009,CADIVEU - HAIR REMEDY KIT HOME CARE ,CADIVEU,SOINS CAPILLAIRES,2026,3474.424847792221,-100.33785260239114,Downtrend,6
TRBSA3.0,TEINT RB SANS AMONIAQUE 60ML 3.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,3472.279232916615,-50.70742594346004,Downtrend,4
8006569716125,TEINT IALO 5.2 100ML,H. ZONE,IALO,2026,3439.342175221669,39.35933168346865,Stable,6
RBT/6.4,TEINT RENEE BLANCHE 6.4  60ML,RENEE BLANCHE,COLORATION 60ML,2026,3421.770967641667,-74.65155047888553,Downtrend,5
HZTTARG,TEINT HZ TRESOR SA ARGENT,H. ZONE,TRESOR,2026,3401.4005727333397,-56.83966288125233,Downtrend,5
HZT/10.3,TEINT IALO 10.3 100ML,H. ZONE,IALO,2026,3370.6064746290726,-25.542640710289632,Downtrend,6
PA0016,BRASIL CACAU - ANTI FRIZZ CONDITIONER-B-1L,CADIVEU,SOINS CAPILLAIRES,2026,3368.9492052682494,-41.22541487288345,Downtrend,6
RBT/11,TEINT RENEE BLANCHE 11 INT CENDRE 60ML,RENEE BLANCHE,COLORATION 60ML,2026,3356.5286995666656,-83.16332382031165,Downtrend,5
RBKTPS,KERA/THER RB SHAMP PROTECTEUR 250ML-6192488205795,RENEE BLANCHE,MASS MARKET,2026,3344.27139825,-70.25643264041534,Downtrend,4
KP0073,CADIVEU ESSENTIALS -BB KIT HOME CARE,CADIVEU,SOINS CAPILLAIRES,2026,3342.6057568333345,-101.34005920368327,Downtrend,4
PA0508,CADIVEU ESSENTIALS -QS QUARTZ POWER DROPS 65ML,CADIVEU,SOINS CAPILLAIRES,2026,3300.26317866666,-71.88355836232081,Downtrend,4
RBT/6.56,TEINT RENEE BLANCHE 6.56  60ML,RENEE BLANCHE,COLORATION 60ML,2026,3293.5199148250003,-84.94769768801471,Downtrend,5
HZTT10.21,TEINT HZ TRESOR SA 10.21,H. ZONE,TRESOR,2026,3276.7059422500315,-16.967644823081326,Uptrend,5
HZT/IC,TEINT IALO CENDRE100ML,H. ZONE,IALO,2026,3258.842651304618,20.662301023947276,Downtrend,6
8006569716118,TEINT IALO 6.33 100ML,H. ZONE,IALO,2026,3246.06906178365,143.0390570853207,Stable,6
HZTT11.0,TEINT HZ TRESOR SA 11.0,H. ZONE,TRESOR,2026,3225.726795333293,-46.45430913990714,Downtrend,5
HZTT11.1,TEINT HZ TRESOR SA 11.1,H. ZONE,TRESOR,2026,3219.593112050007,-50.713499638702494,Downtrend,5
HZTT8.21,TEINT HZ TRESOR SA 8.21,H. ZONE,TRESOR,2026,3218.3939042083457,-26.28043430348849,Uptrend,5
6192488208918,TEINT RENEE BLANCHE 10.11 60ML,RENEE BLANCHE,COLORATION 60ML,2026,3183.6029099999996,-26.17425508393963,Downtrend,3
RBT/8.44,TEINT RENEE BLANCHE 8.44  60ML,RENEE BLANCHE,COLORATION 60ML,2026,3179.13852715005,-71.53425156686222,Downtrend,5
RBT/5.56,TEINT RENEE BLANCHE 5.56  60ML,RENEE BLANCHE,COLORATION 60ML,2026,3143.0363082166664,-89.24695949575099,Downtrend,5
8006569716057,TEINT IALO 8.4 100ML,H. ZONE,IALO,2026,3117.595587039275,48.60113327999603,Uptrend,6
HZT/9.03,TEINT IALO 9.03 100ML,H. ZONE,IALO,2026,3116.6163996712553,107.53277855145824,Stable,6
8006569715937,TEINT IALO 5.35 100ML,H. ZONE,IALO,2026,3049.965260861143,62.515567435833276,Uptrend,6
HZT/5.54,TEINT IALO 5.54 100ML,H. ZONE,IALO,2026,3044.714884206031,232.71673186742055,Uptrend,6
TRBSA9.1,TEINT RB SANS AMONIAQUE 60ML 9.1,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,3038.8964803332856,-64.49257548319567,Downtrend,4
PA0478,CADIVEU ESSENTIALS -BB MASK 200ML,CADIVEU,SOINS CAPILLAIRES,2026,3027.4550761666687,-62.675265853539685,Downtrend,4
REV1L40V,REVELATEUR 40V 1000ML,H. ZONE,TRESOR,2026,3021.3903392083366,407.7028849001091,Stable,5
OXY-20V_1L,ACTIVATEUR RB SANS AMONIAQUE 20V 1L,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,3017.4323822500214,7398.329080768624,Uptrend,4
IATUBS500,IALO THERAPY UNLIMITED BLOND SHAMPOO 500 ML,H. ZONE,IALO,2026,2905.7081715833338,-97.91691336770684,Downtrend,4
MASK_RB_PRO_900ML,MASQUE RB PROTECTEUR 900ML-6192488204729,RENEE BLANCHE,0%SSP,2026,2901.491227666667,-102.9515245165611,Downtrend,5
8006569716101,TEINT IALO 5.33 100ML,H. ZONE,IALO,2026,2900.7197525477895,123.05772663584757,Uptrend,6
HZT/7.64,TEINT IALO 7.64 100ML,H. ZONE,IALO,2026,2895.1870268381676,134.20949330206318,Uptrend,6
PA0474,CADIVEU ESSENTIALS- LEAVE IN MASK VEGAN 120ML,CADIVEU,SOINS CAPILLAIRES,2026,2850.1684949999753,-16.595097496904955,Downtrend,2
RBKTPUC,KERA/THER RB CONDIT PURIFIANT 250ML-6192488205979,RENEE BLANCHE,MASS MARKET,2026,2847.4136132499993,-82.46964924322664,Downtrend,4
HZT/5.53,TEINT IALO 5.53 100ML,H. ZONE,IALO,2026,2782.4908741571107,271.8171437254608,Uptrend,6
RBKTPC,KERA/THER RB CONDIT PROTECTEUR 250ML-6192488205832,RENEE BLANCHE,MASS MARKET,2026,2780.664431416667,-82.5632817674116,Downtrend,4
HZACSHOIL100ML,H ZONE ARGAN ACTIVE SHINE OIL CRISTALLI 100ML,H. ZONE,IALO,2023,2757.1819050000004,22.432454167074187,Uptrend,2
IATCRM500,IALO THERAPY COLOR RESIST MASQUE 500 ML,H. ZONE,IALO,2026,2718.6744140833343,-98.56148364212454,Downtrend,4
TRBSA7.13,TEINT RB SANS AMONIAQUE 60ML 7.13,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,2708.517178750004,-45.06503347555191,Downtrend,4
OXY-30V,ACTIVATEUR RB SANS AMONIAQUE 30V 90ML,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,2688.8686450832956,-69.6654569125884,Downtrend,4
HZTT10.3,TEINT HZ TRESOR SA 10.3,H. ZONE,TRESOR,2026,2657.0823316499436,-48.028752864554534,Stable,5
RBT/7.2,TEINT RENEE BLANCHE 7.2  60ML,RENEE BLANCHE,COLORATION 60ML,2026,2602.7407874249993,-86.99284027039154,Uptrend,5
HZAGS,H ZONE AGELESS SHAMPO 250ML,H. ZONE,IALO,2021,2595.630000000001,0.0,Stable,1
HZTT8.34,TEINT HZ TRESOR SA 8.34,H. ZONE,TRESOR,2026,2478.018316916662,17.917726720935516,Uptrend,5
PA0473,CADIVEU ESSENTIALS- MASK HAIR VEGAN 200ML,CADIVEU,SOINS CAPILLAIRES,2026,2473.4254550000423,-31.42066749694919,Downtrend,2
HZKAS300ML,H ZONE KERATINE ACTIVE SHAMPOO 300ML,H. ZONE,IALO,2023,2465.432055,-99.58715731380595,Downtrend,2
8006569145857,TEINT IALO VERDE 100ML,H. ZONE,IALO,2026,2461.326627526105,78.43304065875857,Downtrend,6
8006569715906,TEINT IALO 6.5 100ML,H. ZONE,IALO,2026,2450.252782142185,190.72790520425508,Uptrend,6
IATMRS800,IALO THERAPY MAX REPAIR SHAMPOO 800 ML,H. ZONE,IALO,2026,2430.1602334999993,-81.8045993180492,Downtrend,4
RBT/6.2,TEINT RENEE BLANCHE 6.2 60ML,RENEE BLANCHE,COLORATION 60ML,2026,2400.10662055,-84.53910293673637,Uptrend,5
TRBSA10.0,TEINT RB SANS AMONIAQUE 60ML 10.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,2356.2800460833755,-67.23115843566485,Downtrend,4
HZT/6.54,TEINT IALO 6.54 100ML,H. ZONE,IALO,2026,2340.550717616145,-1836.3423763342996,Uptrend,6
MASK_RB_SIL_900ML,MASQUE RB SILVER 900ML-6192488204705,RENEE BLANCHE,0%SSP,2026,2324.0963824333335,-106.51761996106244,Downtrend,5
RBT/7.56,TEINT RENEE BLANCHE 7.56  60ML,RENEE BLANCHE,COLORATION 60ML,2026,2301.2503019499995,-92.4083422195026,Uptrend,5
IATPVS800,IALO THERAPY PRO VITALITY SHAMPOO 800 ML,H. ZONE,IALO,2026,2292.8953785833332,-82.45359868490199,Downtrend,4
HZT/6.64,TEINT IALO 6.64 100ML,H. ZONE,IALO,2026,2282.989749275279,576.6455272703629,Stable,6
TRBSA6.14,TEINT RB SANS AMONIAQUE 60ML 6.14,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,2241.6790304999636,-47.525256160652255,Downtrend,4
PA0104,CADIVEU-HAIR REMEDY-MASK 200 ML  ,CADIVEU,SOINS CAPILLAIRES,2026,2235.7105821383234,-99.0061905927467,Downtrend,6
RBO10L,R.B OXY 10V 1L,RENEE BLANCHE,COLORATION 60ML,2026,2226.354688833338,-8.888563579987347,Downtrend,5
RBT/5.2,TEINT RENEE BLANCHE 5.2  60ML,RENEE BLANCHE,COLORATION 60ML,2026,2176.4963518083337,-90.11843801456358,Uptrend,5
TRBSA8.13,TEINT RB SANS AMONIAQUE 60ML 8.13,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,2113.309248500017,-46.20409332848043,Downtrend,4
HZAC,H ZONE AGELESS CONDITIONER 250ML,H. ZONE,IALO,2021,2081.1350000000007,0.0,Stable,1
PA0487,CADIVEU ESSENTIALS -QS BALM LEAVE-IN 120ML,CADIVEU,SOINS CAPILLAIRES,2026,2076.3286510834373,-72.61594815464174,Downtrend,4
HZT/7.54,TEINT IALO 7.54 100ML,H. ZONE,IALO,2026,2070.9187332245215,209.61999596524313,Uptrend,6
8006569715890,TEINT IALO 5.5 100ML,H. ZONE,IALO,2026,2038.027167790281,188.63415743358127,Uptrend,6
HZT/4.54,TEINT IALO 4.54 100ML,H. ZONE,IALO,2026,2036.9470457218085,316.94241277194396,Uptrend,6
HZT/9.64,TEINT IALO 9.64 100ML,H. ZONE,IALO,2026,2004.8964258581693,194.4712083787162,Uptrend,6
PA0507,CADIVEU ESSENTIALS -QS QUARTZ MIST 200ML,CADIVEU,SOINS CAPILLAIRES,2026,1989.807046166666,-77.87990187991848,Downtrend,4
TRBSA5.1,TEINT RB SANS AMONIAQUE 60ML 5.1,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1960.7391717500007,-63.3071949516371,Downtrend,4
PA0480,CADIVEU ESSENTIALS -BB GRADUAL SMOOTHING 200ML,CADIVEU,SOINS CAPILLAIRES,2026,1959.1761108333335,-92.99352024501121,Downtrend,4
IATULM500,IALO THERAPY UNLIMITED BLOND MASQUE 500 ML,H. ZONE,IALO,2026,1957.1064529999999,-101.31259774892543,Downtrend,4
8006569144485,TEINT IALO 4.2 100ML,H. ZONE,IALO,2026,1956.9872492084698,56.617041724844505,Stable,6
HZT/4.53,TEINT IALO 4.53 100ML,H. ZONE,IALO,2026,1956.802424486387,438.0383416206928,Uptrend,6
PA0082,BRASIL CACAU - EXTREME REPAIR- HAIR MASK 500ml,CADIVEU,SOINS CAPILLAIRES,2026,1942.8522543833483,5.8167288225892415,Stable,5
TRBSA5.14,TEINT RB SANS AMONIAQUE 60ML 5.14,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1924.5051990000234,-60.22707763767657,Downtrend,4
TRBSA10.1,TEINT RB SANS AMONIAQUE 60ML 10.1,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1918.2111839165625,-79.03323573136298,Downtrend,4
HZKAGR150ML,H ZONE KERATINE ACTIVE GLOSS REPAIR 150ML,H. ZONE,IALO,2022,1913.1300000000008,0.0,Stable,1
RBT/6.36,TEINT RENEE BLANCHE 6.36  60ML,RENEE BLANCHE,COLORATION 60ML,2026,1899.6258923083333,-86.81704116247175,Downtrend,5
PA0472,CADIVEU ESSENTIALS- CONDITIONNER VEGAN 250ML,CADIVEU,SOINS CAPILLAIRES,2026,1892.712954999979,202.69999380024385,Uptrend,2
TRBSA5.00,TEINT RB SANS AMONIAQUE 60ML 5.00,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1887.8536825833153,-66.8415461585909,Downtrend,4
8006569144522,TEINT IALO 9.4 100ML,H. ZONE,IALO,2026,1814.0719538768142,50.59762812334752,Uptrend,6
HZT/4.45T,TEINT IALO 4.45T 100ML,H. ZONE,IALO,2026,1797.970856648566,-29.64455243195457,Uptrend,6
HZT/ROUGE,TEINT IALO INT ROUGE 100ML,H. ZONE,IALO,2026,1786.9707703464198,181.56007630505312,Downtrend,6
HZTTBL,TEINT HZ TRESOR SA BLEU,H. ZONE,TRESOR,2026,1773.261644875005,-72.1002668330558,Downtrend,5
RBT/7.36,TEINT RENEE BLANCHE 7.36  60ML,RENEE BLANCHE,COLORATION 60ML,2026,1751.924520258333,-90.38376285821586,Downtrend,5
8006569716231,TEINT IALO MIEL 100ML,H. ZONE,IALO,2026,1751.5458887827706,-61.2610808580643,Downtrend,6
TRBSA4.5,TEINT RB SANS AMONIAQUE 60ML 4.5,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1740.6220334166642,-34.04666997353271,Stable,4
TRBSA5.606,TEINT RB SANS AMONIAQUE 60ML 5.606,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1720.864027666683,-52.86819894522448,Downtrend,4
8006569144539,TEINT IALO 5.64 100ML,H. ZONE,IALO,2026,1697.1228565465608,240.84486174232964,Stable,6
PA0506,CADIVEU ESSENTIALS -QS CREAM HAIR PROTEIN 200 ML,CADIVEU,SOINS CAPILLAIRES,2026,1692.4036753333326,-81.59697697169857,Downtrend,4
RBT/55,TEINT RENEE BLANCHE 55 INT ROUGE 60ML,RENEE BLANCHE,COLORATION 60ML,2026,1686.5996483083327,-81.11457231802251,Stable,5
PA0613,CADIVEU ESSENTIALS - HAIR REMEDY -CONDITIONNER 250 ML,CADIVEU,SOINS CAPILLAIRES,2026,1677.1320000000005,0.0,Stable,1
KP039,CADIVEU-BLONDE RECONSTRUCTOR -PROFESSIONAL KIT,CADIVEU,SOINS CAPILLAIRES,2025,1654.6132032499997,-105.72727176258698,Stable,4
8006569144560,TEINT IALO 4.55 100ML,H. ZONE,IALO,2026,1642.882383767486,11.420384747488189,Stable,6
HZPM500G,H.ZONE P.MECHE BLANC 500G,H. ZONE,IALO,2025,1640.1626029999995,-65.38138357270003,Stable,4
TRBSA6.13,TEINT RB SANS AMONIAQUE 60ML 6.13,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1639.0524255833664,-68.05697066782892,Downtrend,4
8006569715883,TEINT IALO 4.5 100ML,H. ZONE,IALO,2026,1613.346454626488,125.35780233704223,Stable,6
HZONETN/1.0,TEINT H ZONE S/A100ML 1.0 NEW,H. ZONE,IALO,2022,1549.7976999999996,-75.87639282606865,Downtrend,2
RBT/V,TEINT RENEE BLANCHE  INT VERT 60ML,RENEE BLANCHE,COLORATION 60ML,2026,1544.2188651666727,780.4763192143499,Downtrend,4
RBO604,R.B OXY 40V 60ML 6192488202350,RENEE BLANCHE,COLORATION 60ML,2026,1537.9892878000005,-85.13810634526061,Downtrend,5
TRBSA7.31,TEINT RB SANS AMONIAQUE 60ML 7.31,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,1518.38561366664,-69.86996336062448,Downtrend,4
PA0475,CADIVEU ESSENTIALS- BEACH WAVES VEGAN 200ML,CADIVEU,SOINS CAPILLAIRES,2026,1505.4594749999997,-73.26164961450807,Downtrend,2
